Repository,Component Type,Ecosystem,Name,Version,Dependency Scope,Relationship,License,PURL or Reference,Metadata Source,Notes
workspace,library,npm,micromark-util-symbol,2.0.1,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-util-symbol@2.0.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,micromark-util-types,2.0.2,runtime,transitive runtime dependency,MIT,pkg:npm/micromark-util-types@2.0.2,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,mime-db,1.54.0,runtime,transitive runtime dependency,MIT,pkg:npm/mime-db@1.54.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,motion,12.38.0,runtime,direct runtime dependency,MIT,pkg:npm/motion@12.38.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,motion-dom,12.38.0,runtime,transitive runtime dependency,MIT,pkg:npm/motion-dom@12.38.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,motion-utils,12.36.0,runtime,transitive runtime dependency,MIT,pkg:npm/motion-utils@12.36.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,mri,1.2.0,runtime,transitive runtime dependency,MIT,pkg:npm/mri@1.2.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,nanoid,3.3.11,build,transitive build dependency,MIT,pkg:npm/nanoid@3.3.11,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,next-tick,1.1.0,runtime,transitive runtime dependency,ISC,pkg:npm/next-tick@1.1.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,node-releases,2.0.27,build,transitive build dependency,MIT,pkg:npm/node-releases@2.0.27,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,normalize-path,3.0.0,build,transitive build dependency,MIT,pkg:npm/normalize-path@3.0.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,nosleep.js,0.12.0,runtime,transitive runtime dependency,MIT,pkg:npm/nosleep.js@0.12.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,object-assign,4.1.1,runtime,transitive runtime dependency,MIT,pkg:npm/object-assign@4.1.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,outvariant,1.4.0,runtime,transitive runtime dependency,MIT,pkg:npm/outvariant@1.4.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,pako,2.1.0,runtime,transitive runtime dependency,(MIT AND Zlib),pkg:npm/pako@2.1.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,parse-entities,4.0.2,runtime,transitive runtime dependency,MIT,pkg:npm/parse-entities@4.0.2,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,parse-json,5.2.0,runtime,transitive runtime dependency,MIT,pkg:npm/parse-json@5.2.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,path-type,4.0.0,runtime,transitive runtime dependency,MIT,pkg:npm/path-type@4.0.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
